source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Source_Tumor_CSC,Target_PBMC_NK,CCN1,ITGAV,0.26033878,0.0,0.043176964,0.5384386663683701,0.8174888406239278,0.37598225,0.7107061,0.15265310410113117,0.7199452702023211
Source_Tumor_CSC,Target_PBMC_NK,CD59,STAB1,0.40844825,0.0,0.11361152,0.5499850761388448,0.4056719596755342,0.34376195,0.79940104,0.23972637666806343,0.7214169080668721
Source_Tumor_CSC,Target_PBMC_NK,ARPC5,ADRB2,0.4793595,1.0,0.11390834,-0.035351580455778325,0.3029835148305024,0.32469767,0.79961014,1.0,0.7299967383204443
Source_Tumor_CSC,Target_PBMC_NK,PSAP,SORT1,0.6800484,1.0,0.11439025,-0.18151985244748428,-0.3722074949647659,0.22283952,0.79994816,1.0,0.7343119412741128
Source_Tumor_CSC,Target_PBMC_NK,HSPG2,LRP1,0.4737125,0.0,0.22280657,0.6699229464070184,1.1500116322522143,0.7743089,0.8480405,0.00854061693568737,0.7343423586378335
Source_Tumor_CSC,Target_PBMC_NK,APP,NCSTN,0.46906367,0.0,0.11460129,0.38573926290739585,0.7447023841107655,0.42702892,0.8000956,0.06607345891879303,0.73647590521165
Source_Tumor_CSC,Target_PBMC_NK,COL4A1,CD47,0.35724717,0.0,0.11464147,0.49971451290171104,0.5604251806169165,0.59921116,0.80012363,0.052840293692707256,0.7386441163414929
Source_Tumor_CSC,Target_PBMC_NK,ADAM9,ITGA6,0.11378879,0.0,0.011784291,0.04653668145775957,-0.07330444784742488,0.16058394,0.56206477,1.0,0.7456404591582344
Source_Tumor_CSC,Target_PBMC_NK,CD55,ADGRE2,0.47059625,0.0,0.13990162,0.09980519852111308,0.5339526050163951,0.48170623,0.81557226,0.08779015532587937,0.746445142855088
Source_Tumor_CSC,Target_PBMC_NK,CD34,SELL,0.37049198,0.0,0.11507975,0.5064216138932203,0.5553957377017471,0.6688202,0.80042857,0.052840293692707256,0.7473595160614837
Source_Tumor_CSC,Target_PBMC_NK,APOE,LRP1,0.46908414,0.0,0.21879147,0.6108898947353258,1.3979396383590692,0.7747854,0.84686506,0.006654139733738344,0.7488729119205823
Source_Tumor_CSC,Target_PBMC_NK,EFNB2,EPHB6,0.12306565,0.0,0.011803822,0.42611173051342355,0.3617033373081854,0.7596247,0.5622686,0.06123421320141129,0.7502039545444802
Source_Tumor_CSC,Target_PBMC_NK,COL4A1,CD93,0.24145418,0.0,0.058296714,0.4798518846389785,0.25402321982451215,0.4183307,0.7405704,0.14516237230567608,0.7524355479872054
Source_Tumor_CSC,Target_PBMC_NK,JAM3,ITGB1,0.34002745,0.0,0.041557197,0.07311997690766264,0.10714762856952258,0.3792436,0.7067596,0.4034097392648737,0.7568399299980857
Source_Tumor_CSC,Target_PBMC_NK,LAMB1,ITGA6_ITGB1,0.11436678,0.0,0.011876396,0.39298335230466913,-0.0006663522546053735,0.26015458,0.56302273,0.8106927737818252,0.759312461254301
Source_Tumor_CSC,Target_PBMC_NK,CCN2,ITGAM,0.46547648,0.0,0.20558415,0.6653465278509547,1.4497623361225895,0.84789467,0.842784,0.0026723489449189414,0.7634884637526589
Source_Tumor_CSC,Target_PBMC_NK,CFH,ITGAM,0.23951378,0.0,0.04280291,0.14717022828209156,0.4411673059441145,0.61545384,0.70981085,0.05912470637216488,0.7657004049689102
Source_Tumor_CSC,Target_PBMC_NK,VEGFC,ITGB1,0.40254974,0.0,0.11810572,0.4323503492657858,0.38106903253481705,0.5412252,0.8024936,0.052840293692707256,0.7672194662269598
Source_Tumor_CSC,Target_PBMC_NK,HLA-F,CD8A,0.4630326,1.0,0.20713556,-0.1916340077407597,0.5505521759637508,0.32243672,0.84328145,1.0,0.7708274920205653
Source_Tumor_CSC,Target_PBMC_NK,PAM,DPP4,0.114936285,0.0,0.012032395,0.05110011904650739,0.07850220471412872,0.32280117,0.5646274,0.4764566635388256,0.7729290186466256
