source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,TNFSF9,HLA-DPA1,0.26713583,1.0,0.07037546,-0.4781441023460997,-1.5766481550185716,0.01633309,0.7678057,1.0,0.5409550333770556
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,KITLG,KIT,1.1492062,0.0,0.1356057,3.666970477580746,2.098514613514912,0.7133399,0.82111436,2.1877336846263559e-07,0.5413426805491541
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HLA-DPB1,CD4,0.7060684,1.0,0.15993129,-0.4506737476946089,-0.9461808878670941,0.020865902,0.8329126,1.0,0.5423274493203524
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HLA-DMA,CD4,0.3914726,1.0,0.08180215,-0.47448810340021197,-0.7800770565448643,0.018606985,0.7809467,1.0,0.5446019213461216
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CCN1,ITGAV,0.30667114,0.01,0.08183488,0.03653064012734804,0.35237685618304604,0.093222134,0.7809809,0.37822242703422176,0.5454144457194088
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,IGF2,IGF2R,0.096633844,1.0,0.009218742,0.11463767760704704,-0.1266938181486779,0.079430774,0.5447944,1.0,0.5468851875980287
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,TGFB1,CXCR4,0.34955558,1.0,0.08189673,-0.6763943208685697,-1.498167992227183,0.0055272463,0.7810455,1.0,0.547042090670262
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,ACTR2,ADRB2,0.5407496,0.0,0.28990725,0.4326016407954503,0.5696575409589658,0.15158053,0.8703233,0.02072009880313421,0.5478455702695549
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LGALS9,SLC1A5,0.26585144,1.0,0.07030355,-0.0004532725804984178,0.1267750139953598,0.07473895,0.76771456,1.0,0.5490813261032224
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,ADAM15,ITGA9,0.26330394,0.0,0.06932836,0.49430192459826794,0.5453140522418813,0.26226327,0.76646674,0.02072009880313421,0.5610086226802068
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,FAM3C,LAMP1,0.26299912,1.0,0.059878863,-0.15057735685796703,-0.03457844752951278,0.056644104,0.7530976,1.0,0.5626671306907367
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,SEMA7A,PLXNC1,0.10469341,0.311,0.009457381,0.07963152967441459,0.09230245179275962,0.056235265,0.54796153,0.850027270240246,0.5634627187488959
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CCN2,ITGB2,0.3596007,1.0,0.08472524,-0.3807588046577657,-0.7265681481914426,0.020048352,0.783935,1.0,0.5693340267814861
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,SPTAN1,PTPRA,0.30910635,0.971,0.084736526,-0.04509168682030236,0.12729743214452077,0.067199714,0.7839463,0.6651719670099415,0.5697523919683332
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CD14,ITGB1,0.2613423,1.0,0.06745902,-0.5636552589200836,-0.9392102689089237,0.013402077,0.76401156,1.0,0.5718476477885917
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,APP,TNFRSF21,0.531487,0.0,0.21369797,0.12691983615457267,0.2954171682203459,0.12811296,0.8521194,0.042268665955632494,0.57470536128617
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,ARF6,PLD1,0.26980022,1.0,0.04892826,-0.10400331316542757,0.007028907471712975,0.058520243,0.7338447,1.0,0.5790097883921775
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,MFNG,NOTCH2,0.09858064,1.0,0.009656663,-0.16660242415311843,-0.14270940927075432,0.02975353,0.5505428,1.0,0.5799653966436293
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HLA-DQA1,CD4,0.41083378,1.0,0.08661046,-0.45400416433599333,-0.8671937311538855,0.01870604,0.78579295,1.0,0.5862313018469112
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LGALS8,ITGA3,0.09937772,1.0,0.009692241,-0.16108918313609455,-0.24498741350915004,0.027722616,0.55099773,1.0,0.5865455120288805
